question,subject,choices,answer,d,b,c,a,e,output,none,f,?,sol,bc,'},ab,solution,the,im,',ad,},which,}},input,cd,g,}',**,bd,all,income,cong,2,db,4,div,Unnamed: 38,what,an,1,cf,first,de,.,few
Which of the following accurately describes individual entitlements?,high_school_government_and_politics,"['Congress provides funds to the states, and the states decide how best to spend the money.'
 'Congress is allowed to fund these programs only when the federal government has a budget surplus.'
 'Congress must pay benefits to anyone who qualifies to receive them.'
 'Congress grants money to states, provided that certain criteria are met.']",2,0.0009040408615425,0.0013153716920084,0.9914852409613444,0.0045910983216463,7.42081574904533e-05,0.0006213375917271,,,8.408885886524658e-05,0.0003325778883548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is true of most third parties in U.S. history?,high_school_government_and_politics,"['They arose and succeeded during times of prosperity.'
 'They were created to protest wars.'
 'At some point they won a majority of seats in Congress.'
 'They flourished during periods of widespread dissatisfaction.']",3,0.9966380753443156,0.0010298239393602,0.000551225032905,0.0002297847805141,0.0001085426446438,0.000551225032905,,,,3.993060745483565e-05,,,,,3.1097988354342884e-05,,,,,,,2.744387839931941e-05,,,,,,,,,,,,,,,,,,,,,
"The principles of freedom-""we hold these truths to be self-evident, that all men are created equal""- stated in the Declaration of Independence were influenced by the beliefs of political philosopher",high_school_government_and_politics,['Thomas Hobbes' 'Niccolo Macchiavelli' 'Jonathan Edwards' 'John Locke'],3,0.9960109514715924,0.0013213891458992,0.0004289922465567,0.0002948416311514,4.521542856973077e-05,0.0013213891458992,,,3.107607929191498e-05,,,2.7424543719588257e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divided government frequently results in,high_school_government_and_politics,"['reapportionment of voting districts' 'amendments to the Constitution'
 'conflict between states and the federal government'
 'delays in the confirmation of those nominated to be ambassadors']",3,0.0019058223161769,0.0075376734807341,0.9874985186075712,0.0009002467176294,9.48853511973544e-05,0.0001564394967969,,,0.0003752786649199,0.0001772691737939,,0.0001380573713651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is true of Congress's power of oversight?,high_school_government_and_politics,"['Congressional oversight activities most often take place at the committee and subcommittee levels.'
 ""State challenges to congressional oversight have severely weakened Congress's oversight powers.""
 'Congressional oversight is primarily directed at the judicial branch.'
 'Constituent input does not influence congressional oversight.']",0,0.0001232868764163,0.000379750495067,5.13936163027541e-05,0.9990771012429002,1.2994341172932577e-05,2.4276625365826366e-05,,,,,,,,2.142404669054839e-05,,,,1.4724517598731116e-05,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is the most accurate statement about writs of certiorari?,high_school_government_and_politics,"['Fewer than 5% of petitions for writs of certiorari are granted by the Supreme Court.'
 'The Supreme Court grants writs of certiorari only when there is a ""circuit split.""'
 ""The lower court's ruling is overturned if the Supreme Court denies a writ of certiorari.""
 'Only the solicitor general may petition for a writ of certiorari.']",0,1.473449107483543e-05,0.0002304862198845,1.891946104204737e-05,0.9997023423683706,,,2.259607390258282e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.259607390258282e-06,,,,,,,2.259607390258282e-06,1.994096522960195e-06
"Federal election laws require that, in",high_school_government_and_politics,"['an area that has a substantial community of non-English speakers, voters be provided with ballots in their native language'
 'an electoral district that has historically low voter turnout, polling places be open for longer than the typical work day'
 'a state with a budget deficit, a tax be collected from each voter to pay for the cost of the election'
 'a region with racial diversity, congressional district lines be drawn to guarantee that at least one elected congressperson be of a racial minority']",0,0.0011006893653455,0.3458263184673566,0.0049329474985064,0.6463360532260563,,,0.0002218085773159,,0.0002782977215378,0.0001160117502721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The absence of a political party solely dedicated to labor and working class issues in the United States,high_school_government_and_politics,"['proves U.S. politicians are not concerned about serving working-class constituencies'
 'is the result of government restrictions placed on the political activities of labor unions'
 'reflects the difficulty of unifying a party around a single issue in a ""winner-take-all"" format'
 ""demonstrates that, in the United States, most political issues regarding workers have been decided in the workers' favor""]",2,0.3124550719428209,0.0894700149814448,0.583740428870629,0.0121084498186978,,,,,0.0012762212215369,,,9.244915521009564e-05,,,,,,,6.353931320918128e-05,,,,,,,,,,,,,,,,,,,,,,,,
The Civil Rights Act of 1964 was passed to reinforce the,high_school_government_and_politics,"['presidential veto' 'system of checks and balances'
 ""states' power to challenge federal regulation"" 'Fourteenth Amendment']",3,0.9904786099642734,0.0014889812688987,0.0051970552856934,0.0006206997390166,9.518734250867532e-05,0.001159619778197,,,,,,3.967998784599634e-05,,,,,,,,,3.967998784599634e-05,,,,,,,,,,,,,,,,,,,,,,
"Which of the following is NOT part of the ""iron triangles"" that influence public policy-making?",high_school_government_and_politics,"['House committees' 'Senate committees' 'The courts'
 'Bureaucratic agencies']",2,0.1316218793212208,0.0065530675044723,0.8583410203050077,0.003106613847814,5.669516972852637e-05,,,,,,,,,,6.42440438742408e-05,,,,,,,,2.678090188173073e-05,,,,,,,,,,,,,,,,,,,,
The attorney general is the head of which of the following entities?,high_school_government_and_politics,"['The Senate Judiciary Committee' 'The Department of Justice'
 'The Department of State' ""The Judge Advocate General's Corps""]",1,0.0006245286603471,0.996558515150594,0.0004863834097289,0.000229751254564,,0.0007076836853682,,,0.0001085268081063,,,,,9.577457200124564e-05,,,5.809021433961062e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
The Supreme Court's decision in Miranda v. Arizona was based mainly on the,high_school_government_and_politics,"['Constitutional prohibition of ex post facto laws'
 'incorporation of the Fifth Amendment through the due process clause of the Fourteenth Amendment'
 'Eighth Amendment restriction against cruel and unusual punishment'
 'abolition of slavery by the Thirteenth Amendment']",1,0.0003342532680938,0.9965094253854389,0.0008018319067581,0.0016974781599275,7.458198523992218e-05,,,,2.7437179051519334e-05,,,3.523003526436328e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
