question,subject,choices,answer,c,b,d,Ñ,_c,.c,ci,(c,a,e,_d,.d,<|end|>,Ð°,aa,.a,_a,(a,Ð´,g,f,h,.b,p,Ð±,Â­d,-d,bi,-a,-c,1,du,o,ac,an,co,(b,none,n,k,ab,de,4,l,_b,199,(d,bc,ca,feminist,the,feminism,investigations,femin,feminine,gender,Unnamed: 60,women's
"What is the relationship between war, military security, and security studies?",security_studies,"['War is best regarded as a rational instrument of political policy; it is a continuation of politics by other means.'
 'War is best regarded as a social aberration, and is the result of catastrophic failure in social cohesion.'
 'War is an anarchic state in which state or other actors must draw upon exceptional (military) means in order to ensure the protection of their interests.'
 'War is a state of mass conflict which is inflicted upon state actors as a result of their failure to effectively control the behaviour of their population.']",0,0.9999999993927868,2.172439929800668e-10,1.2256067414321074e-11,1.3887943831220664e-11,7.835041766027689e-13,,,,3.5817479215806536e-10,8.878265456888251e-13,,,3.978962526169606e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How has coercive diplomacy featured in contemporary security studies?,security_studies,"[""Compellence and coercion through diplomacy are linked with the 'pre-emptive use of force'.""
 'Coercive diplomacy is a softly-softly approach to international power bargaining, that has been side-lined in recent years.'
 'Deterrence as a strategy has dominated contemporary instances of coercive diplomacy.'
 'All of these options.']",0,9.545034913241766e-12,2.0206839069901377e-11,,,,,,,0.9999999998601314,1.0060392782716041e-12,,,5.1090890229254236e-12,1.0261879621382139e-10,,6.91440009998681e-13,6.91440009998681e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways is defining coercive diplomacy success problematic?,security_studies,"['Isolation of the effect that the threat of force or the limited use of force, in a given case is dependent on the sufficiency of the ""stick"" for success. The question to ask is whether the stick employed was sufficient to produce compliance.'
 'Success is an independent function from the amount of coercion required to produce compliance. Ideally, coercion should be required to solve all disputes. If the threshold from persuasion to coercion is crossed, the degree of success is equated to the production intended outcome: to stop or undo an action.'
 'In protracted diplomatic affairs involving a series of inconclusive exchanges which results in tactical/temporary successes followed by new acts of non-compliance, the production of the intended outcome (compliance and ceasing of actions) is regarded as a success from a policy goal perspective.'
 'Coercive diplomacy success resulting from the use of threats and sanctions (inducements may, but need not, be employed) are classified as cheap successes. Successes resulting from the use of limited force count as costly ones. Compliance can only be considered a success if the outcome is lasting.']",3,0.753248940471237,0.0137957908083661,0.0424954387444293,,,,,,0.1904530963133999,6.733662567672052e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In what ways, if any, can the environment be considered a security concern?",security_studies,"['Environmental security entails a consideration of the security of the global environment, as well as its nested sub-systems and social systems beyond the boundaries of the nation state.'
 'Environmental security is a critical security project in that it questions who and what is to be secured and from what threat by orthodox security policies, or whether linkages between environmental, security and development issues can be made.'
 'Environmental security is a practical endeavour to assess how environmental change causes violent conflict within and between countries, and the ways in which environmental security can undermine national security.'
 'All of these options. The environment is both an object to be secured and a source of risk, although it may mean different things to different people. Whilst deepening the concept of security it has both critical and practical dimensions although the utility of the concept is contested.']",3,2.882350793110065e-13,4.752193062219948e-13,0.9999999999988852,,,,,,1.8426252145098373e-14,1.4350379599673763e-14,1.981008797819203e-13,1.0603575990293941e-13,,,,,,,,,,,,,,1.4350379599673763e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement best describes the liberalist attitude towards international organisations?,security_studies,"['Liberalism holds that international organisations can enhance national and international security. It advocates the inclusion of non-governmental organisations and other actors to encourage cooperation and build communities.'
 'The liberalist advocacy of cooperation as enhancing security is undermined by the failure of international organisations such as the league of nations in preventing global conflicts.'
 ""Under liberalism's different schools of thought, there is a general consensus that the involvement of international organisations in the political system ultimately undermines security by disempowering the state as a unitary actor.""
 'All of these options.']",0,,1.201542573012051e-13,,,,,,,0.9999999999790772,,,,1.201542573012051e-13,2.0206839087445148e-11,2.882350793048267e-13,6.431393940568136e-14,7.287724094818143e-14,5.008774637155152e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the relationship between culture and social constructivism?,security_studies,"['All of the below.'
 'Culture is the product of shared identity and interaction, although it is important in understanding the dynamics of social identity, its wider reference to security studies is largely disputed.'
 'Social constructivism does not regard culture as being an important feature to study, instead focusing on individualistic aspects of identity such as personal interests and ambition.'
 'Culture is commonly regarded as a set of practices that give meaning to shared experiences and actions; it can impact on how states see security and is crucial in constructing the values and rules that inform identity.']",3,1.1628233005369962e-10,3.160881447558488e-10,0.9999999993700428,,,,,,1.9171715096610736e-10,7.835041768319912e-13,2.734698285747478e-12,1.4637785109976288e-12,,,,,,,8.87826545948568e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is an impact of common structural adjustment policies on the poor?,security_studies,"['Cost of imports soar, including vital resources such as imported medicines. Basic food prices rise, putting even greater pressure on already stretched household budgets.'
 'Reduced health, education, and social welfare spending and the introduction of cost-recovery and user-fees put healthcare and education beyond the reach of many ordinary people. Public sector redundancies and salary freezes lead to fewer teachers and doctors.'
 'Massive redundancies and increased unemployment with no social security provision push families deeper into poverty. Farmers and small companies can no longer afford to borrow money and are forced to reduce production or go out of business.'
 'All of these options.']",3,3.266131342266968e-13,8.878265477044847e-13,0.9999999999983762,,,,,,1.0603575989834097e-13,,1.5428112029460305e-13,1.2015425729857048e-13,1.2664165547076056e-14,,,,,,1.6261110443586872e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How might the diversity of the current global international system impact upon the case for humanitarian intervention?,security_studies,"['The global political arena is dominated by a paradigm of human-security which promotes human security based on core assumptions of what it is to be secure, and which transcend cultural or political diversity.'
 'Despite the inclusion of a diverse range of political actors, whose cultural, ethical and religious values are often at odds with one another, there exists a general consensus amongst all states that humanitarian intervention is sometimes justified.'
 'The diversity of states, in terms of their cultural, political, ideological and religious values, results in a global system characterised by radical disagreements on how states should govern themselves and each other. In order to protect this diversity there exist rules of engagement that prohibit interference in the sovereign state, such as humanitarian intervention.'
 'Within the contemporary global arena there are a number of radically different views on how states should govern themselves and each other. In order to protect this diversity, there exists a need for unifying principles of humanitarian intervention.']",2,0.999999999998246,1.4637785140344465e-12,8.258073285039924e-14,1.0603575990861295e-13,3.9008376099369765e-14,2.0879679115154696e-14,,2.0879679115154696e-14,,,,,2.0879679115154696e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following are economic objectives of IMF adjustment policies?,security_studies,"['Devaluation to promote exports and reduce demand for imports by raising their prices.'
 'Tighter monetary and credit policies with higher interest rates to reduce overall demand, and thus demand for imports; to limit or reduce the rate of inflation.'
 'All of these options.'
 'Public spending cuts to reduce the budget deficit and slow the growth of government debt.']",2,0.9999999999973368,2.1297851706884144e-12,,2.2447770547391678e-13,9.357622967665428e-14,9.357622967665428e-14,,3.9008376096910084e-14,,,,,,,,,,,,,,,,,,,,,,8.258073284519212e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To what extent have biological agents been weaponized?,security_studies,"['Military professionals believe that the majority of biological agents can be sufficiently stable in their effects to be used as a weapon. Resource requirements would be minimal as fermenters used to make vaccines could be converted for military production and relatively small quantities of the agent are required to produce highly lethal effects, making them an efficient and effective weapon.'
 'Construction of the means to transmit biological weapons in warfare has focused on the use of vectors, for example lice, fleas, or mosquitoes, as a mode of transmission as a military weapon. These are favoured because the target would find it difficult to contain the source of the outbreak, placing the infrastructure of the target country under strain.'
 ""Biological agents comprise bacteria, viral, and toxin agents. However, not every disease provides the basis for an effective biological weapon. An agent's storage, delivery, mode of transmission and its very resilience can shape its effects on a target population.""
 'Inoculation programs against naturally occurring disease have eradicated the potential for viral agents to cause a global pandemic. Vaccination capabilities have undermined calls for the weaponization of viral agents made by some military strategists as most public health authorities have in place programs to deal with a possible outbreak.']",2,0.9999999959863004,1.2501528602066804e-09,7.052879816246636e-11,2.9400777247503586e-11,,,,,2.646573625825925e-09,5.109089002806823e-12,,,8.423463712827716e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,3.511422096017989e-12,,,,,,,,,,,,,,,,,,
"According to Buzan, Waever, and de Wilde, in what ways does the Copenhagen School's approach to Security Studies differ from that of Critical Security Studies?",security_studies,"['The theory and knowledge that underpin each approach are fundamentally at odds with one another. Whilst Critical Security Studies is post-structuralist and constructivist, the Copenhagen School is based on an objectivist epistemology.'
 'Whilst Critical Security Studies regards security to be a social construction, based on the changeable ideas that form human society, the Copenhagen school disregards this epistemological approach and instead considers security as an issue to be studied objectively from a positivist approach.'
 'Critical Security Studies regards security to be an empirically definable state, which should be studied from a positivist approach. However, the Copenhagen School views security as a socially constructed entity that denies the validity of an objective approach.'
 'Neither Critical Security Studies nor the Copenhagen School account for the changing nature of society and its impact on the construction of security.']",0,3.398268098156972e-09,8.764248938122152e-08,4.5990557557801903e-10,,,,,,0.9999999052047156,5.211412915230405e-10,,,2.4616971536773887e-10,2.3355932303206743e-09,1.917171670968599e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are Fission Nuclear Weapons?,security_studies,"['Fission nuclear weapons are gun-type devices that require a relatively small amount of fissile uranium-235 material to produce a comparatively large explosion because mass and energy becomes interchangeable in the barrel. Implosion devices however are unable to sustain the reaction; the neutron generator is unable to set off the interchange being destroyed in the explosion.'
 'Implosion fissure devices are constructed with relative ease because unlike the gun-type fissure device it uses high-explosive shaped lenses to compress the fissile material to critical tolerance. Detonation is highly volatile with a high potential of ""going critical"".'
 'Fissile weapons are produced by the rapid rearrangement of hydrogen, oxygen, carbon and nitrogen in a chamber, striking each other at high velocities the friction sparking a chemical explosion.'
 'Gun-type devices are of rugged design using two sub-critical masses fired down a barrel at very high velocities with a high probability of producing a reaction. Implosion devices are more complex, requiring the assembling of shaped charges to compress the fissile material to critical tolerances, and are detonated with more than split-second timing.']",3,4.193795657714289e-13,1.6586783586511177e-12,0.9999999999972412,,,,,,3.701011678005587e-13,3.900837609561931e-14,1.542811202947154e-13,7.287724094663651e-14,,,,,,,,,,,,,,4.420228102939999e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why is HIV/AIDS considered to be a non-traditional security issue?,security_studies,"['HIV/AIDS is a newly emergent disease that did not exist until relatively late in the 20th century.'
 'Ill health can threaten the state indirectly, but can also be a threat to other referent objects such as the economy.'
 'The overwhelming scale of HIV/AIDS requires a new approach in order to theorize its impact on security.'
 'None of the above - HIV/AIDS is better defined as a traditional security issue.']",1,9.056076987526764e-11,0.9999999999086736,2.543665646774126e-13,,,,,,2.882350792761329e-13,,,,8.258073283598927e-14,,,,,,,,5.6756852312877016e-14,,2.68100386714646e-14,,5.6756852312877016e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is an important reason to advocate the process of desecuritization?,security_studies,"['To prevent the erosion of established civil liberties through the removal of special rights and the cessation of extraordinary measures.'
 'To prevent stagnation of the security realm and facilitate the recognition and securitization of new or more urgent existential threats.'
 'To prevent the securitization of irrelevant threats and to challenge the legitimacy of currently securitized threats.'
 'To ensure that securitizing actors conceptualise security threats in terms of those that can be addressed using extraordinary measures.']",0,1.0815941535207562e-11,2.940077733283015e-11,,,,,,,0.9999999995762144,2.413362766906917e-12,,,1.7832472871745705e-11,3.5817479229719084e-10,2.413362766906917e-12,2.734698286009649e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements best describes the process of 'medicalization'?,security_studies,"[""The term 'medicalization' refers to the process whereby a medical or health issue becomes securitized.""
 ""'Medicalization' is the outcome of security dialogue that discusses threats or risks to national security in terms of medical language.""
 ""An issue is said to be 'medicalized' when it is dismissed as a security threat, instead deemed to be a medical issue concerning health as mutually exclusive from security.""
 ""The perceived 'medicalization' of societies occurs when social issues are increasingly considered and responded to as medical problems.""]",3,1.0060392791366796e-12,4.752193062078487e-13,0.999999999998264,,,,,,,1.1176086869265156e-14,1.3615261078912016e-13,7.287724094757455e-14,1.1176086869265156e-14,,,,,,,,,,,,,2.3659776087899034e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How has the conceptualization of health as a security issue changed during the twentieth century?,security_studies,"['Health has long been regarded as a security issue. During the 20th century there was an increasingly sense of panic about the potential damage of a serious pandemic disease outbreak in the newly globalised world. Medical advances and a series of successful contained outbreaks have largely allayed these fears.'
 'Since the early 20th century there has been growing recognition of the success in medical and technological advancements that have the ability to keep infectious diseases at bay in the modern population.'
 'Pandemic disease is a relatively new threat to security, emerging only in the early 19th century. Therefore, human populations are still formulating and testing new ways of controlling outbreaks and minimising their impact on security.'
 'During the 20th century, security analysts were predisposed to focus on the potential threat of nuclear confrontation and military combat. Since the reduction in these threats, there has emerged a series of pandemic diseases, and a sense of growing unease at the future impact of more serious outbreaks in an increasingly globalised population.']",3,4.335244631751965e-07,1.4356358533196092e-05,0.9740277640161084,,,,,,0.0259571788633185,6.245512047501205e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.047824561989665e-07,,,,,,,,,,,,,,,
Which statement best describes the circumstances that have shaped the emergence of peace studies as a field of research?,security_studies,"['Peace studies developed after the Second World War as a response to the failure of International Relations to prevent global conflict following World War I. Initially, the field was conditioned by the nuclear arms race and East-West divide that characterised the Cold War, but was quick to embrace environmental concerns and the issues surrounding the North-South wealth/poverty divide.'
 'Peace studies developed as a discipline following the Cold War when the security studies paradigm shifted to include areas of concern such as environmental, societal and economic security. As a field of research peace studies adopts a Euro-centric approach to security and has thus been defined by developments within the West and wealthier nations.'
 'Peace studies emerged as a response to the developing nuclear capability of states during the Cold War. The aim of peace studies is to secure the state as a referent object and does this through the study of weapons accumulation. The approach is particularly focused on the nuclear arms race between East and West.'
 'Developed as a response to World War I, peace studies focuses on disparities in wealth and resource allocation that exist within the global system, with the aim of promoting peace through the equal distribution of these resources.']",0,,1.9810087976850436e-13,,,,,,,0.9999999999834294,,,,8.258073284038808e-14,1.5737102103971798e-11,3.2661313421874183e-13,9.357622967121061e-14,8.258073284038808e-14,,,,,,,,,,,,5.0087746369233314e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements is commonly regarded as a tangible benefit of the securitization process?,security_studies,"['Securitizing injects urgency into an issue and leads to a sustained mobilization of political support and deployment of resources.'
 'Securitization encourages more efficient handling of complex problems.'
 'Securitization mobilizes popular support for policies in specific areas by calling them security relevant and encourages the allocation of more resources.'
 'All of these options.']",3,7.43368067056146e-12,1.6586783585146656e-12,0.999999999990238,,,,,,7.287724094064123e-14,,2.882350792750047e-13,2.543665646764169e-13,,,,,,,2.365977608564812e-14,,,,,,,3.037975384711298e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways might a society be threatened?,security_studies,"['Societies are threatened when their linguistic heritage and traditions are under attack. The inability to use and develop traditional language signifies the destruction of a society.'
 ""Threats to societal security exist when a society regards its collective identity as being under question. Such circumstances include the suppression of expression and interference with a society's ability to reproduce itself across generations.""
 'Military threats to societies in the form of external aggression, mainly through de-population policies with the intent of preventing collective identities from being reproduced over generations.'
 'Migratory influxes into a host receiving state results in a shift in the composition of the population resulting in horizontal competition or vertical competition. This is not an outright threat to survival but part of wider uncontrollable processes of evolutionary identity.']",1,2.902311743183661e-06,0.9999967817417648,8.151988222965181e-09,,,,,,3.059014071683507e-07,6.691559420641361e-10,,,,,,,,,,4.0586359499078906e-10,3.5817336545122006e-10,,,4.5990370481995354e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements best defines the concepts of corporate and social identity?,security_studies,"['An actor can have only one social identity, and this forms the basis for developing other identities. In contrast, an actor may have multiple corporate identities which vary in importance.'
 ""Corporate identity refers to the intrinsic, self-realized identity of an actor. Social identity refers to 'sets of meanings that an actor attributes to itself while taking the perspective of others'. Actors can have multiple social identities.""
 'Corporate identity is a type of social identity that is constructed through the interaction of an actor with others within the international system.'
 ""Social identity can also be described as 'role' identity. Like corporate identity, an actor's social identity is formed through interaction and does not exist as an intrinsic concept.""]",1,4.420228103431716e-14,0.9999999999999104,9.862862046113092e-15,,,,,,,,,,,,,,,,,,1.6261110445407642e-14,,3.202002498485637e-15,3.202002498485637e-15,7.681204684838115e-15,,,5.279209628088225e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways has conflict been a concern of the environmental security agenda for strong states?,security_studies,"['Environmental change can be a cause of war between countries, largely centred on resource scarcity interrelated with conflict. There is therefore a strong connection between environmental degradation and violence; resources as strategic goals and strategic tools may cause violence if there is inequity.'
 'Population growth and its relationship to environmental degradation can lead to environmentally caused conflict. There is therefore a linear link between population growth and environmental change, and environmental change is the critical determinant in the production of violence.'
 'Common findings in research organizations investigating environmental violence have failed to find quantifiable relationships between environmental and social variables and the cause of war. Analysis of aggregated data failed to establish a common causal mechanism. The extensity of possible variables being simply too vast, mitigating any definitive relationship.'
 ""Analysis of environmental violence research shows that there is a tendency among 'strong states' to be less prone to internal violent conflicts whereas states undergoing significant economic and political transitions are more prone to violent conflict. Environmental change is unlikely to be a cause of war but can be a contributory factor.""]",3,,1.748234127914023e-13,,,,,,,0.999999999965291,,,,2.882350792855738e-13,3.3315445414860256e-11,6.101936676359153e-13,9.357622966929111e-14,1.5428112028768066e-13,7.287724094331354e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Threats to IT systems can be classified in many ways; in this chapter three different categories of threat are listed. According to this classification, which of the following would be classified as a 'Failure'?",security_studies,"['Security systems were not adequate to protect the system against attack from a hacking group, and sensitive data was lost.'
 'There is a programming error in the software which causes the system to perform badly.'
 'All of these options.'
 'The IT system has failed due to a random unexpected event, such as a tsunami which destroys key electronic equipment.']",1,8.315262581261933e-07,1.7603411022670264e-06,0.9999973791676796,,,,,,2.845329233309717e-08,2.7894626266707865e-10,7.991944232034059e-11,9.056059243525739e-11,6.224132426171123e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following reasons might influence a state's decision to join an alliance such as NATO?,security_studies,"['More powerful states may also create alliances in order to extend their protective umbrella over weaker friendly states.'
 'States may seek to join an alliance if they believe that their own resources are inadequate to maintain their sovereignty and security.'
 'An alliance can become attractive to states when a potential hegemonic power threatens the other states in that system.'
 'All of these options.']",3,1.9810087979030224e-13,3.7010116783199883e-13,0.999999999999264,,,,,,9.862862045853776e-15,,8.25807328494748e-14,5.0087746374744694e-14,,,,,,,1.2664165548161103e-14,,,,,,,1.2664165548161103e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'security dilemma' that faces weak states?,security_studies,"['The inability of the state to provide stability creates a situation wherein each component of society competes to preserve its well-being thereby engendering insecurity. The condition is self-perpetuating - a semi-permanent situation of emergent anarchy because measures to secure the regime will provoke greater resistance.'
 'The weak state insecurity dilemma is primarily an external condition creating a situation for the weak state similar to structural anarchy, wherein a weak state creates insecurity in the region when taking measures to improve its own regional standing.'
 ""The weak state insecurity dilemma emerges out of competition between each component of society to preserve and protect the longevity of their well-being and interests. However, the ruling elite remain separate from the social sphere of contestation producing a policy dilemma; use of the monopoly of instruments of violence to restore order will reduce the regime's infrastructural core.""
 ""Weak state insecurity dilemmas are born out of a lack of political and institutional centring with a monopoly of force. However, the engagement of armed forces to strengthen institutions may stop this process. Inability to foster 'stateness' is reversed by the use of violence. Social disquiet is a semi-permanent situation of emergent but not developed anarchy.""]",0,,3.7010116774196953e-13,,,,,,,0.9999999999489037,,,,1.139991852683053e-12,4.8473687047339576e-11,7.835041782581198e-13,1.7482341277169817e-13,1.5428112027029182e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following does not constitute a fundamental ontological principle of social constructivism?,security_studies,"['Normative or ideational structures are important and matter as much as, if not more than, material structures.'
 'Identities are important.'
 'Anarchy is an inescapable feature of the international system.'
 'Agents and structures are mutually constituted.']",2,0.9999999999982516,1.291780004570534e-12,2.5436656469526524e-13,8.258073284178516e-14,4.420228102903901e-14,2.3659776087401288e-14,2.0879679112976714e-14,,,,,,,,,,,,,,,,,,,,,,,3.0379753849364094e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historical materialism is founded on the ideas and philosophies of which theorists?,security_studies,"['Barry Buzan and Ole Waever' 'Kenneth Waltz and Hans Morgenthau'
 'Karl Marx and Friedrich Engels' 'Adam Smith and Karl Marx']",2,0.9999999999986224,7.835041784269262e-13,3.900837609784844e-14,3.7010116782170804e-13,3.4424771081206224e-14,,8.258073284717862e-14,2.3659776088946534e-14,,,,,,,,,,,,,,,,,,,,,,4.420228103192592e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What internal security policy options are available to elites?,security_studies,"['Elites create negative inducements for non support of the regime. Redistribution as a means of denial to the power structure in the form of ""elite disenfranchisement"" which may include diversion of resources, disarmament and denial of access to commercial activity routes.'
 'Lacking infrastructural capacity and wider social legitimacy, weak state elites are often forced to rely on coercive power. However, a key dilemma is that the instruments of violence can be a threat to the regime requiring the deliberate undermining of armed forces.'
 'Elites attempt to foster a new politics of identity in which ethnic consciousness is superseded by ideologies orientated around the myth of the regime.'
 'Weak states have cultivated international sponsorship and have initiated processes of democratic reform so as to gain popular legitimacy internally whilst bolstering its international legitimacy externally.']",1,0.1187167087975376,0.0040622157574377,1.6601347334375196e-05,,,,,,0.8771999775651448,1.5441658425157187e-06,,,,,,,,,,,,,,,,,,,,,,,,1.2025975673433574e-06,,,,,,,1.7497691357253193e-06,,,,,,,,,,,,,,,,,
Are strategies of Arms Control and Deterrence useful in cyber-security?,security_studies,"['No, arms control does not serve any purpose outside the realm of traditional military weapons.'
 'Yes, successful policies of arms control and deterrence have translated well from other security realms, such as nuclear weapons control strategies.'
 'Effective deterrence requires international cooperation which is achievable in theory, but the verification required for traditional arms control strategies is impossible in cyber(ed) warfare.'
 'Only arms control is unproblematic, deterrence has failed because international cooperation cannot be reached and common rules or practices cannot be established.']",2,2.1297851705702745e-12,0.9999999999977256,4.4202281028410715e-14,,,,,,,,,,,,,,,,,,1.6261110443234778e-14,,1.4350379598740708e-14,,3.900837609474628e-14,,,9.862862044795183e-15,,,,,,,,,,,,,,,,,,,,2.087967911267992e-14,,,,,,,,,,
In what ways does the perspective on terrorism influence the response a government will take?,security_studies,"['Within the disease prescription, reform packages become part of the government response to reduce the appeal of the terrorist group within the population. However, reforms may encourage terrorists to continue their violent activities because they are being rewarded. Under these conditions reforms may become concessions that fuel the violence rather than a mechanism for ending it. It is also clear that reforms may not eliminate the presence of terrorism.'
 'Contemporary responses to terrorism have been taken within the context of the war on terror analogy, in which the norms of retaliation and punishment prevail. Implicit within this view is the justification for pre-emptive action taken against training facilities, headquarters, sources of funding, and even the assassination of key individuals.'
 'Whilst the warfare analogy presumes deterrence at times, deterrence is more central to a justice system. The extent of pre-emption available in a normal criminal context is the detention of suspects or judicial harassment.'
 'All of these options. Responses to terrorist attacks vary either explicitly or implicitly, if warfare is seen as warfare, crime, or disease.']",3,1.0603575989330591e-13,1.2917800045188028e-12,0.999999999995692,,,,,,2.1297851705152577e-12,2.6810038672272613e-14,4.752193061788203e-13,2.543665646850788e-13,,,,,,,,,,,,,,2.36597760864538e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How might the period of academic institutionalization be assessed?,security_studies,"['The distinct phenomenon of strategic studies emerged as an imported American specialty. It emerged in the US and was exported to Europe. European security studies was ""theory has already been done"" kind of work.'
 ""The think tanks became routine producers of narrow technical problem-solving succumbing to 'hectic empiricism': the internal logic of its key contribution (deterrence) broke down.""
 'Peace research developed on a parallel but separate track, and particularly the distinct critical branch was seen neither by its representatives nor by security studies as part of the latter.'
 'All of these options.']",3,1.13999185283382e-12,2.7346982910868267e-12,0.9999999999940532,,,,,,1.6586783586079038e-12,6.431393940264239e-14,2.244777054606405e-13,1.060357598956556e-13,,,,,,,1.8426252143832636e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways may the security dimensions of infectious disease be considered in the national security framework?,security_studies,"['The physical health of armed forces is a paramount concern within the traditional security paradigm, and the threat of disease is exacerbated by the physical and sociological conditions under which military personal operate, particularly during combat.'
 'The innate human fear of microbes makes them particularly amenable to being portrayed not just as important health issues, but as national-security threats as well.'
 'Diseases that traditionally affect certain regions of the world, due to their epidemiologic nature or for socio-economic reasons, are increasingly perceived by national governments as potential threats as a result of globalisation.'
 'All of these options.']",3,1.9810087978337438e-13,4.752193062254828e-13,0.9999999999990782,,,,,,7.681204684367534e-15,,1.3615261079417245e-13,8.258073284658684e-14,,,,,,,7.681204684367534e-15,,,,,,,1.4350379599779095e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the role of non-governmental organisations (NGOs) in the global defence trade?,security_studies,"['Non-governmental organisations are the primary actors in modern arms control measures.'
 'Non-governmental agencies are unable to access the resources and information needed to develop effective policy or action on arms control.'
 'Non-governmental groups have played a significant and effective role in developing arms control measures in recent years.'
 'There is a serious lack of involvement by non-governmental actors in controlling the global defence trade.']",2,0.9999999999989512,7.83504178429504e-13,,1.201542573059195e-13,5.008774637351677e-14,2.3659776089024382e-14,,2.6810038675185463e-14,,,,,,,,,,,,,,,,,,,,,,4.420228103207135e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The concept of R2P rests on three pillars, which of these is widely acclaimed to be the most important?",security_studies,"['The responsibility to retaliate.' 'The responsibility to prevent.'
 'The responsibility to rebuild.' 'The responsibility to react.']",1,1.658678358819106e-12,0.9999999999981162,3.0379753852689e-14,,,,,,1.3615261080115704e-13,,,,,,,,,,,,8.703945206227241e-15,,,2.6810038676280474e-14,1.6261110445245613e-14,,,6.778639342420375e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the context of globalization, how can we best define the term 'development'?",security_studies,"['The term development refers to the human condition in which there is freedom from fear and want; there are sufficient resources to sustain life and this life can exist in a state free from the threat, or perceived threat, of sudden interruption.'
 ""To be considered as developed, a nation must have achieved certain economic and political status within the global state system; the criterion for what constitutes a 'developed' state is thus defined by those requirements of interaction in this system.""
 'Development is a means to address the inequalities that accompany neoliberal globalization. In this context, development refers to the ability of a population or community to effectively utilize resources and increase efficiency in production and distribution, promoting the more equitable distribution of income within society.'
 'Development of a community refers to the ideological and ethical value systems to which its population subscribes. In the globalised international system this refers to the adoption of western liberal democratic ideology and free market economics.']",2,0.9999999999928914,6.560200167450295e-12,1.3615261079436506e-13,2.2447770547802555e-13,8.258073284670365e-14,3.9008376097624085e-14,,2.6810038674943052e-14,,,,,3.9008376097624085e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following best describes Eurocentrism?,security_studies,"['Eurocentrism is a style of analysis in which European societies are compared to non-European societies to produce an unbiased comparison of the relative merits of each.'
 'Eurocentrism is a thought style in which the assessment and evaluation of non-European societies is couched in terms of the cultural assumptions and biases of Europeans.'
 'Eurocentrism describes studies or scholarly work that only consider European political or economic systems.'
 'All of these options.']",1,8.258073285302499e-14,0.9999999999998528,2.3659776090621548e-14,,,,,,,,,,,,,,,,,,1.2664165548705538e-14,,3.202002498539104e-15,5.279209628176377e-15,1.4350379600897876e-14,,,5.279209628176377e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
