question,subject,choices,answer,c,с,d,b,<|end|>,s,​,ch,a,а,ab,none,ai,an,aa,д,all,t,​​,б,,solution,cc,...,e,no,invalid,the,error,not,bb,option,n,bc,cb,abc,ac,ap,199,4,x,ɑ,­a,co,h,cd,identity,dipl,p,y,ad,‌,critical,ind,ci,f,.d,198,',**,k,abcd,abd,mal,any,3,goals,g
"Given current patterns of industrial development, what are the future prospects for energy security?",security_studies,"['Whilst energy consumption is correlated to levels of industrialisation, developed states of the North continue to increase their demands for energy. This is balanced by a lesser demand from states in the South; due to their lack of industrialisation their demands on energy are forecast to remain low.'
 'Energy demand in the industrialised states has peaked in recent years and data indicates that consumption levels in the North have become constant and are not likely to increase.'
 'Whilst forecasts predict that energy consumption in the industrialised states of the North will continue to increase, the major increase in demand will come from the developing states of the South, posing major challenges to global energy security.'
 'Although demand from developing states is set to increase the global consumption of dwindling energy resources, technological advancements in alternative energy sources, coupled with comprehensive understanding of current resource levels and access, will secure energy supply in the foreseeable future.']",2,0.9999999993684779,5.905303994942162e-10,2.9400777372920556e-11,6.560200163708095e-12,3.978962533140797e-12,,4.75219305955071e-13,2.88235079149109e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88235079149109e-13,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not a correct definition?,security_studies,"['Acting subjects: who or what is acting to produce security or insecurity.'
 'Substantive content: what being secure looks like and what conditions must exist for us to be able to say we are secure.'
 'Referent object: whom or what we act to make secure.'
 'Objective security: when a matter is objectively considered a security issue, regardless of interpretation.']",3,1.2501528563592783e-09,,0.9999999954178587,9.736200234915594e-10,1.1032560234943478e-09,,1.237818952839051e-10,,9.736200234915594e-10,,,,,,,1.09237139184097e-10,,,,,,,,4.8473686673895576e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What external strategies do elites employ?,security_studies,"['An increasingly popular means of bolstering regime security has been the expulsion of foreign workers and non-ethnic nationals and restricting borders to refugees and migrants.'
 'Weak states seek to avoid alliances with powerful states because alliances and assistance frequently are conditional on democratization and risk penalties if they are not met.'
 'An increasingly prevalent strategy among weak states has been the employment of private military or security companies and foreign mercenaries as force multipliers to secure the weak state from internal threats.'
 'Weak states may sometimes militarily engage in action to bolster their regional position and to mobilize internal support against the construction of an imagined external threat. This frequently coincides with economic or social crises as a policy of distraction.']",2,0.9999810546704228,1.4165805627510397e-09,1.8925148275701378e-05,1.1860883835588086e-08,4.058571263670804e-10,,,,6.34867362533468e-09,,,,,,,,,,,,,,,,1.49306492843369e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What problems has the post-Cold War security literature revealed on women, war, development, and security?",security_studies,"[""Technological advancements have to some extent rendered the battlefield gender-neutral. 'Virtual' warfare has resolved the historical tension between the citizen and the state security apparatus; if actual combat could be avoided then male and female soldiers could wage war on equal terms. However, technological advancement remains unequal and so the gender situation is different in different contexts, depending on development and security issues.""
 ""The technological capacity to wage war with minimal civilian costs has abolished the threat of physical and biological gender victimization. The contemporary gender divide is structured on 'soft' issues associated with socio-economic hardship.""
 ""Conflict in warfare and the gender divide between men and women is centred on the historical contract between the individual and the state. The 'right to fight' debate has equal meaning and saliency across the globe, and is universally applicable in all situations.""
 'Nuclear armaments and the threat of mass destruction have rendered the battlefield gender neutral in terms of its destructive capabilities. Whilst historically conventional warfare was conducted on the battlefield in which women were particularly vulnerable to violence, and post-conflict sexual violence, these threats no longer exist.']",0,5.492788343635318e-11,,1.4930946742075543e-10,6.691586082375969e-10,1.8795288140345342e-12,,,,0.9999999989540711,1.691897920360607e-10,,,,,1.4637785121753641e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How might weapons belonging to state military or police forces arrive on the illicit arms market?,security_studies,"['States are strong enough to ensure that their weaponry is kept within their control and not traded illegally.'
 'There is no evidence to suggest that state-owned weapons could be traded illicitly as part of the black or grey arms markets.'
 'Illegal trading by states is the primary way in which weapons purchased legally might end up on the illegal arms market.'
 'Looting and theft, especially where corruption is endemic, states are weak, and weapons stockpiles are not properly secured.']",3,6.691586086367947e-10,,0.9999999993020652,1.6586783576934867e-12,2.020683907535046e-11,,2.1297851693883183e-12,,,,,,,,,3.978962532908826e-12,,,4.752193059273661e-13,,3.266131340383659e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways has human security been significant as a concept?,security_studies,"['Human security has put particular emphasis on the nexus between conflict and development, a concept which is very useful. The significance of the nexus between development and conflict is not just that it raises ethical issues about human suffering and inequalities, but that its frequent outcomes, so called state future, has dire local, regional, and global effects.'
 'From a normative perspective, the concept serves to highlight good global norms. Human security often serves as an umbrella norm. Developing good global norms is not only important for moral and ethical reasons but also because they serve to enhance state and international society.'
 'The development of the human security concept highlights the view that the threats to humans as well as to state entities are changing and increasing. These changes have spurred debates about the meaning of security and the arguments for its broadening and deepening. Like internal violence, these transnational issues have serious local, regional, and global effects.'
 'All of these options.']",3,2.2897348455284717e-11,,0.9999999999641915,3.0988191385633732e-12,3.978962535633783e-12,,1.9810087979476846e-13,,4.508755242064278e-12,,,,,,,1.006039279231875e-12,,,1.2015425731157401e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements is not accurately applied to Critical Security Studies?,security_studies,"['The referent object can be objectively studied and should be considered accordingly.'
 'The security analyst and the object of the security should not be regarded as separate.'
 'Critical Security Studies is a post-positivist approach.'
 'Critical Security studies questions the epistemological principles of other approaches in Security Studies.']",0,,,,8.878265476228983e-13,4.752193061577158e-13,,3.44247710760505e-14,,0.9999999999607554,3.7751345433305904e-11,,,,3.9008376092006247e-14,5.6756852312066995e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can armed forces be linked to environmental security and in what ways?,security_studies,"[""Military warfare enhances the ability of people's access to resources and to aid the development in ecologically sustainable ways; it can secure access routes and rights that would otherwise be denied; rebuild infrastructure and equitable access of resources; benefit the management of environmental problems; and also to bolster social institutions and cohesion.""
 'It is when considering the military and the security institutions that some of the greatest contradictions with the concept of environmental security are raised. War impacts negatively on the sustainable growth of the nation but armed forces may be required to manage the effects.'
 'Stronger militaries and technological advances have reduced the negative impact on the environment having greater impact with fewer materials, whilst the spectre of mass destruction warfare has been reduced with the ending of the Cold War.'
 'All of these options.']",1,3.5817479245978166e-10,,0.9999999986166577,2.4616969479078945e-10,9.056076975298015e-11,,3.5114221078027765e-12,,6.691586080671123e-10,,,,,,,1.2256067424645235e-11,3.5114221078027765e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When considering economic tools for security policy, which of the following is the odd one out?",security_studies,"['Withdrawal of economic trade rights with the domestic market.'
 'Export controls protecting technological advantage and further foreign policy objectives.'
 'Control of munitions and arms sales.'
 'Import restrictions to protect a domestic market from foreign goods.']",0,0.015905650188170185,,0.9840470852894282,7.763462852075098e-06,5.568360491996312e-08,,,,3.942611754241854e-05,,,,,,,,,,,,,,,,1.4079020160914669e-08,,,,,,,,,,,,,,,,,,,,5.1793820690387585e-09,,,,,,,,,,,,,,,,,,,,,,,
What is the market vision of transnational organized crime?,security_studies,"['Market place scholars argue that transnational crime operates like a capitalist marketplace in its scope and extensity of operations. Criminal organizations are thus very resilient to law enforcement efforts by virtue of their sheer size. Of comparative difference is the development of highly sophisticated networks of collaboration between criminal groups that has enabled them to survive under the conditions of the competitive logic of the marketplace.'
 'Market analysts argue that the criminal alliances create organizations with a high level of wealth and power that far underestimates what government and official estimates attribute to them. Within this perspective the threat to the licit economy is vastly increased.'
 'Market analysts believe that white-collar and corporate crimes contribute significantly to undermining the licit market. Those organized crime groups are more prone to use violence and corruption than ordinary criminal groups as a result of the extent of profits invested in their activities.'
 'Market analysts claim that organized crime is highly disorganized, and resembles more a market for illicit goods and services than an organization. Proponents of this view minimize the threat posed by organized criminals to states and societies.']",3,2.244777054792328e-13,,2.1297851707388518e-12,4.508755241835577e-12,1.748234128092987e-13,,,,0.9999999999223603,7.052879850393776e-11,,,,,7.287724095077387e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What impact did the end of the Cold War have on warlord politics?,security_studies,"['Within the context of state collapse, elites deliberately engender disorder for the pursuit of commercial activities and the exploitation of neo-liberal globalized shadow markets which would not otherwise be permissible in normal conditions. Warlord politics represented a new form of regime security forced upon weak state elites.'
 'Warlord politics represented the entrenchment of traditional patterns of redistributive networks within society but maintained by alternative political sources. Assistance derived from superpowers was superseded by US hegemonic endorsement at the end of the Cold War.'
 'Warlord politics in response to the rapid global changes inaugurated by the end of the Cold War and by globalization, was a temporary aberration in the normal function of the state and was reflective of the immediate need to secure infrastructural survival.'
 'Warlord politics was a new phenomenon which represented the opportunistic exploitation of hollowed out state institutions and fragmented armed forces. Commercial activities accumulated in a shadow economy facilitated by the end of the Cold War, not of strategic design.']",0,3.824484166684971e-06,,0.37753706442381546,5.5645916278698786e-06,,,,,0.6224535149962712,,,,,,,,,,,,,,,,1.7710875373602713e-08,,,,,,,,,,,,,,,,,,,,,,,,,,1.3793243609841856e-08,,,,,,,,,,,,,,,,,
In what ways might the effects of chemical weapons affect the decision to deploy them against a target?,security_studies,"['Chemical weapons are a highly complicated means to conduct an assault. The unpredictability of chemicals (the degree of evaporation, stability and concentration) frequently proves to be incommensurate with political objectives.'
 'Analysts are concerned with the potential ease of chemical manufacturing. Weapons could be quickly and effectively deployed being light, concealable and rapidly deployed. Most weapons can be delivered in a line source for example a crop duster or administered through an aerosol. Dispersal in areas of poor ventilation or closed venues where people are in close proximity could have potentially catastrophic effects.'
 'Chemical weapons have the potential to cause mass casualties. Moderate exposure to chemicals produces serious side effects and would generate serious casualties if weaponized.'
 'Wind, temperature and terrain can affect the lethality and persistence of an agent and is dependent on the extensity and degree of contact with the target.']",3,3.581748181138127e-10,,1.1253518260088722e-07,2.3355932023773096e-09,9.056077623933498e-11,,,,0.9999998796599444,4.944450848233215e-09,,,,4.277788168572506e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3315447754978585e-11,,,,,,,,,,,,,,,,,
"What is the relationship between war, military security, and security studies?",security_studies,"['War is best regarded as a rational instrument of political policy; it is a continuation of politics by other means.'
 'War is best regarded as a social aberration, and is the result of catastrophic failure in social cohesion.'
 'War is an anarchic state in which state or other actors must draw upon exceptional (military) means in order to ensure the protection of their interests.'
 'War is a state of mass conflict which is inflicted upon state actors as a result of their failure to effectively control the behaviour of their population.']",0,1.8189616819228505e-09,,5.4927883339529663e-11,1.3176514229310468e-10,7.433680649342867e-12,,1.6586783537801577e-12,,0.9999999973136814,6.69158607058045e-10,,,,2.413362764363181e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How has coercive diplomacy featured in contemporary security studies?,security_studies,"[""Compellence and coercion through diplomacy are linked with the 'pre-emptive use of force'.""
 'Coercive diplomacy is a softly-softly approach to international power bargaining, that has been side-lined in recent years.'
 'Deterrence as a strategy has dominated contemporary instances of coercive diplomacy.'
 'All of these options.']",0,2.1724399340635138e-10,,0.9999999995914585,2.594609497063621e-11,1.3887943858472125e-11,,,,1.4930946754992196e-10,,,,,,,1.4637785134416682e-12,4.193795656419162e-13,,,,,,,,2.707717985706726e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways is defining coercive diplomacy success problematic?,security_studies,"['Isolation of the effect that the threat of force or the limited use of force, in a given case is dependent on the sufficiency of the ""stick"" for success. The question to ask is whether the stick employed was sufficient to produce compliance.'
 'Success is an independent function from the amount of coercion required to produce compliance. Ideally, coercion should be required to solve all disputes. If the threshold from persuasion to coercion is crossed, the degree of success is equated to the production intended outcome: to stop or undo an action.'
 'In protracted diplomatic affairs involving a series of inconclusive exchanges which results in tactical/temporary successes followed by new acts of non-compliance, the production of the intended outcome (compliance and ceasing of actions) is regarded as a success from a policy goal perspective.'
 'Coercive diplomacy success resulting from the use of threats and sanctions (inducements may, but need not, be employed) are classified as cheap successes. Successes resulting from the use of limited force count as costly ones. Compliance can only be considered a success if the outcome is lasting.']",3,0.21280835327019285,,0.27325112125497936,0.0034397233377662702,,,,,0.5105004706129834,,,,,,,,5.7449212753830996e-08,,,,,,,,2.7407486556261796e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In what ways, if any, can the environment be considered a security concern?",security_studies,"['Environmental security entails a consideration of the security of the global environment, as well as its nested sub-systems and social systems beyond the boundaries of the nation state.'
 'Environmental security is a critical security project in that it questions who and what is to be secured and from what threat by orthodox security policies, or whether linkages between environmental, security and development issues can be made.'
 'Environmental security is a practical endeavour to assess how environmental change causes violent conflict within and between countries, and the ways in which environmental security can undermine national security.'
 'All of these options. The environment is both an object to be secured and a source of risk, although it may mean different things to different people. Whilst deepening the concept of security it has both critical and practical dimensions although the utility of the concept is contested.']",3,1.7832472907103957e-11,,0.9999999999529675,4.5087552420312566e-12,1.7832472907103957e-11,,1.9810087979331759e-13,,5.109089027764663e-12,,,,,,,1.4637785140403408e-12,,8.790673253298002e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement best describes the liberalist attitude towards international organisations?,security_studies,"['Liberalism holds that international organisations can enhance national and international security. It advocates the inclusion of non-governmental organisations and other actors to encourage cooperation and build communities.'
 'The liberalist advocacy of cooperation as enhancing security is undermined by the failure of international organisations such as the league of nations in preventing global conflicts.'
 ""Under liberalism's different schools of thought, there is a general consensus that the involvement of international organisations in the political system ultimately undermines security by disempowering the state as a unitary actor.""
 'All of these options.']",0,6.914400099290839e-13,,,2.94007773603188e-11,6.560200160896265e-12,,5.384940211796705e-13,,0.9999999995547646,4.058652121985628e-10,,,1.291780003356907e-12,8.878265468637681e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the relationship between culture and social constructivism?,security_studies,"['All of the below.'
 'Culture is the product of shared identity and interaction, although it is important in understanding the dynamics of social identity, its wider reference to security studies is largely disputed.'
 'Social constructivism does not regard culture as being an important feature to study, instead focusing on individualistic aspects of identity such as personal interests and ambition.'
 'Culture is commonly regarded as a set of practices that give meaning to shared experiences and actions; it can impact on how states see security and is crucial in constructing the values and rules that inform identity.']",3,1.1032560180065394e-09,,0.99999998772677,1.0467401658718851e-08,2.461696919825181e-10,,2.020683882763059e-11,,4.058652073732764e-10,,,,,,,2.2897348158900288e-11,,,,,,,,,7.433680575750144e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is an impact of common structural adjustment policies on the poor?,security_studies,"['Cost of imports soar, including vital resources such as imported medicines. Basic food prices rise, putting even greater pressure on already stretched household budgets.'
 'Reduced health, education, and social welfare spending and the introduction of cost-recovery and user-fees put healthcare and education beyond the reach of many ordinary people. Public sector redundancies and salary freezes lead to fewer teachers and doctors.'
 'Massive redundancies and increased unemployment with no social security provision push families deeper into poverty. Farmers and small companies can no longer afford to borrow money and are forced to reduce production or go out of business.'
 'All of these options.']",3,4.277787868033299e-11,,0.9999999998664044,1.225606744141866e-11,4.84736870520997e-11,,8.340358563766614e-13,,2.5946094977089365e-11,,,,,,,2.734698290993702e-12,,5.732239022149264e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How might the diversity of the current global international system impact upon the case for humanitarian intervention?,security_studies,"['The global political arena is dominated by a paradigm of human-security which promotes human security based on core assumptions of what it is to be secure, and which transcend cultural or political diversity.'
 'Despite the inclusion of a diverse range of political actors, whose cultural, ethical and religious values are often at odds with one another, there exists a general consensus amongst all states that humanitarian intervention is sometimes justified.'
 'The diversity of states, in terms of their cultural, political, ideological and religious values, results in a global system characterised by radical disagreements on how states should govern themselves and each other. In order to protect this diversity there exist rules of engagement that prohibit interference in the sovereign state, such as humanitarian intervention.'
 'Within the contemporary global arena there are a number of radically different views on how states should govern themselves and each other. In order to protect this diversity, there exists a need for unifying principles of humanitarian intervention.']",2,0.9999999035795935,8.152021504468818e-09,7.734422656671416e-08,1.0467402809123004e-08,2.2897350675399153e-11,,1.5737103631919065e-11,,4.0586525197928615e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2256068631814417e-11,,,,,,,,
Which of the following are economic objectives of IMF adjustment policies?,security_studies,"['Devaluation to promote exports and reduce demand for imports by raising their prices.'
 'Tighter monetary and credit policies with higher interest rates to reduce overall demand, and thus demand for imports; to limit or reduce the rate of inflation.'
 'All of these options.'
 'Public spending cuts to reduce the budget deficit and slow the growth of government debt.']",2,0.9999999999188256,4.847368705830416e-11,8.42346375370432e-12,2.2897348454377872e-11,7.835041784353454e-13,,5.6756852321177234e-14,,4.1937956579990087e-13,,,,,,,,,,,,,,,,1.2015425730681533e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To what extent have biological agents been weaponized?,security_studies,"['Military professionals believe that the majority of biological agents can be sufficiently stable in their effects to be used as a weapon. Resource requirements would be minimal as fermenters used to make vaccines could be converted for military production and relatively small quantities of the agent are required to produce highly lethal effects, making them an efficient and effective weapon.'
 'Construction of the means to transmit biological weapons in warfare has focused on the use of vectors, for example lice, fleas, or mosquitoes, as a mode of transmission as a military weapon. These are favoured because the target would find it difficult to contain the source of the outbreak, placing the infrastructure of the target country under strain.'
 ""Biological agents comprise bacteria, viral, and toxin agents. However, not every disease provides the basis for an effective biological weapon. An agent's storage, delivery, mode of transmission and its very resilience can shape its effects on a target population.""
 'Inoculation programs against naturally occurring disease have eradicated the potential for viral agents to cause a global pandemic. Vaccination capabilities have undermined calls for the weaponization of viral agents made by some military strategists as most public health authorities have in place programs to deal with a possible outbreak.']",2,0.7305019053766573,,6.530521160413273e-06,0.0007548256159160275,,,,,0.26873668066449946,,,,,,,,,,,,,,,,3.4269029945512015e-08,,,,,,,,,,,,2.3552736876117184e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to Buzan, Waever, and de Wilde, in what ways does the Copenhagen School's approach to Security Studies differ from that of Critical Security Studies?",security_studies,"['The theory and knowledge that underpin each approach are fundamentally at odds with one another. Whilst Critical Security Studies is post-structuralist and constructivist, the Copenhagen School is based on an objectivist epistemology.'
 'Whilst Critical Security Studies regards security to be a social construction, based on the changeable ideas that form human society, the Copenhagen school disregards this epistemological approach and instead considers security as an issue to be studied objectively from a positivist approach.'
 'Critical Security Studies regards security to be an empirically definable state, which should be studied from a positivist approach. However, the Copenhagen School views security as a socially constructed entity that denies the validity of an objective approach.'
 'Neither Critical Security Studies nor the Copenhagen School account for the changing nature of society and its impact on the construction of security.']",0,0.050132024440208346,,0.0936589519983126,0.03040660985644943,,,,,0.7841968117692717,,,0.041269976523903004,,,,,,,,,,,,,0.00015955924467844846,5.180130247469293e-05,,,,,,,0.00012426486470185758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are Fission Nuclear Weapons?,security_studies,"['Fission nuclear weapons are gun-type devices that require a relatively small amount of fissile uranium-235 material to produce a comparatively large explosion because mass and energy becomes interchangeable in the barrel. Implosion devices however are unable to sustain the reaction; the neutron generator is unable to set off the interchange being destroyed in the explosion.'
 'Implosion fissure devices are constructed with relative ease because unlike the gun-type fissure device it uses high-explosive shaped lenses to compress the fissile material to critical tolerance. Detonation is highly volatile with a high potential of ""going critical"".'
 'Fissile weapons are produced by the rapid rearrangement of hydrogen, oxygen, carbon and nitrogen in a chamber, striking each other at high velocities the friction sparking a chemical explosion.'
 'Gun-type devices are of rugged design using two sub-critical masses fired down a barrel at very high velocities with a high probability of producing a reaction. Implosion devices are more complex, requiring the assembling of shaped charges to compress the fissile material to critical tolerances, and are detonated with more than split-second timing.']",3,7.991959887720256e-11,,0.9999999995970605,1.1628233022606015e-10,7.991959887720256e-11,,9.545034916589893e-12,,1.0261879624981716e-10,,,,,,,9.545034916589893e-12,,,5.1090890247175475e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why is HIV/AIDS considered to be a non-traditional security issue?,security_studies,"['HIV/AIDS is a newly emergent disease that did not exist until relatively late in the 20th century.'
 'Ill health can threaten the state indirectly, but can also be a threat to other referent objects such as the economy.'
 'The overwhelming scale of HIV/AIDS requires a new approach in order to theorize its impact on security.'
 'None of the above - HIV/AIDS is better defined as a traditional security issue.']",1,1.6586783583299033e-12,,2.5436656464808267e-13,0.9999999999776907,1.3887943860071503e-11,,1.139991852642753e-12,,1.6586783583299033e-12,,,,,,,,,,1.9810087973510993e-13,3.5114221121394894e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is an important reason to advocate the process of desecuritization?,security_studies,"['To prevent the erosion of established civil liberties through the removal of special rights and the cessation of extraordinary measures.'
 'To prevent stagnation of the security realm and facilitate the recognition and securitization of new or more urgent existential threats.'
 'To prevent the securitization of irrelevant threats and to challenge the legitimacy of currently securitized threats.'
 'To ensure that securitizing actors conceptualise security threats in terms of those that can be addressed using extraordinary measures.']",0,1.2917800043592059e-12,,3.7010116773698974e-13,2.0206839083546048e-11,7.433680669896179e-12,,,,0.9999999998192085,1.4930946757038617e-10,,,,8.878265475526375e-13,,,,,,,,1.2917800043592059e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements best describes the process of 'medicalization'?,security_studies,"[""The term 'medicalization' refers to the process whereby a medical or health issue becomes securitized.""
 ""'Medicalization' is the outcome of security dialogue that discusses threats or risks to national security in terms of medical language.""
 ""An issue is said to be 'medicalized' when it is dismissed as a security threat, instead deemed to be a medical issue concerning health as mutually exclusive from security.""
 ""The perceived 'medicalization' of societies occurs when social issues are increasingly considered and responded to as medical problems.""]",3,1.3176514257764173e-10,,0.9999999996652068,1.0261879622098269e-10,4.2777878649656133e-11,,1.3887943851966933e-11,,2.2897348435026954e-11,,,,,,,1.573710209213527e-11,,,5.1090890232819635e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How has the conceptualization of health as a security issue changed during the twentieth century?,security_studies,"['Health has long been regarded as a security issue. During the 20th century there was an increasingly sense of panic about the potential damage of a serious pandemic disease outbreak in the newly globalised world. Medical advances and a series of successful contained outbreaks have largely allayed these fears.'
 'Since the early 20th century there has been growing recognition of the success in medical and technological advancements that have the ability to keep infectious diseases at bay in the modern population.'
 'Pandemic disease is a relatively new threat to security, emerging only in the early 19th century. Therefore, human populations are still formulating and testing new ways of controlling outbreaks and minimising their impact on security.'
 'During the 20th century, security analysts were predisposed to focus on the potential threat of nuclear confrontation and military combat. Since the reduction in these threats, there has emerged a series of pandemic diseases, and a sense of growing unease at the future impact of more serious outbreaks in an increasingly globalised population.']",3,2.2159488802647488e-08,,0.9999999571695053,2.998960693484845e-09,1.9171714297747067e-10,,2.0206838205041486e-11,,1.7257827231963893e-08,,,,,,,1.317651369288515e-10,,,,,,,,,7.052879542153743e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement best describes the circumstances that have shaped the emergence of peace studies as a field of research?,security_studies,"['Peace studies developed after the Second World War as a response to the failure of International Relations to prevent global conflict following World War I. Initially, the field was conditioned by the nuclear arms race and East-West divide that characterised the Cold War, but was quick to embrace environmental concerns and the issues surrounding the North-South wealth/poverty divide.'
 'Peace studies developed as a discipline following the Cold War when the security studies paradigm shifted to include areas of concern such as environmental, societal and economic security. As a field of research peace studies adopts a Euro-centric approach to security and has thus been defined by developments within the West and wealthier nations.'
 'Peace studies emerged as a response to the developing nuclear capability of states during the Cold War. The aim of peace studies is to secure the state as a referent object and does this through the study of weapons accumulation. The approach is particularly focused on the nuclear arms race between East and West.'
 'Developed as a response to World War I, peace studies focuses on disparities in wealth and resource allocation that exist within the global system, with the aim of promoting peace through the equal distribution of these resources.']",0,1.9810087975994668e-13,,,1.3887943861812692e-11,1.8795288161125973e-12,,,,0.9999999998520411,1.3176514267105568e-10,,,7.287724094166026e-14,8.258073283682071e-14,7.287724094166026e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements is commonly regarded as a tangible benefit of the securitization process?,security_studies,"['Securitizing injects urgency into an issue and leads to a sustained mobilization of political support and deployment of resources.'
 'Securitization encourages more efficient handling of complex problems.'
 'Securitization mobilizes popular support for policies in specific areas by calling them security relevant and encourages the allocation of more resources.'
 'All of these options.']",3,0.9148847301809947,2.7710436459275334e-08,9.267863058571504e-06,5.621243095041719e-06,,,,,0.08509753351211,,3.342516668183592e-08,3.5580904721220194e-08,,,,,,,,,,,,,4.0720148403528583e-07,,,,,,,,,,,,2.3432827497029608e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways might a society be threatened?,security_studies,"['Societies are threatened when their linguistic heritage and traditions are under attack. The inability to use and develop traditional language signifies the destruction of a society.'
 ""Threats to societal security exist when a society regards its collective identity as being under question. Such circumstances include the suppression of expression and interference with a society's ability to reproduce itself across generations.""
 'Military threats to societies in the form of external aggression, mainly through de-population policies with the intent of preventing collective identities from being reproduced over generations.'
 'Migratory influxes into a host receiving state results in a shift in the composition of the population resulting in horizontal competition or vertical competition. This is not an outright threat to survival but part of wider uncontrollable processes of evolutionary identity.']",1,7.991959802286585e-11,,4.84736865127773e-11,0.9999999993092382,9.056076886933304e-11,,2.2897348196689233e-11,,3.581747889648895e-10,,,,,,,,,,,7.991959802286585e-11,,,,,,,,,,,1.0815941434580782e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements best defines the concepts of corporate and social identity?,security_studies,"['An actor can have only one social identity, and this forms the basis for developing other identities. In contrast, an actor may have multiple corporate identities which vary in importance.'
 ""Corporate identity refers to the intrinsic, self-realized identity of an actor. Social identity refers to 'sets of meanings that an actor attributes to itself while taking the perspective of others'. Actors can have multiple social identities.""
 'Corporate identity is a type of social identity that is constructed through the interaction of an actor with others within the international system.'
 ""Social identity can also be described as 'role' identity. Like corporate identity, an actor's social identity is formed through interaction and does not exist as an intrinsic concept.""]",1,3.3315445406709917e-11,,9.545034918556177e-12,0.9999999999099991,2.289734844617767e-11,,3.098819137330868e-12,,9.545034918556177e-12,,,,,,,,,,7.835041781547499e-13,1.0815941552430775e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
